23,2,"千代田線 特急ロマンスカー メトロはこね 21号（平日／小田急線 直通）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHakone.Weekdays.21,train_type_chiyoda_romance_car_metro_hakone_weekdays_21,#ffffff,#ff0000,6,,"2015-01-29 02:16:23.571446","2015-01-29 02:16:23.571446"
24,2,"千代田線 特急ロマンスカー メトロホームウェイ 71号（平日／小田急線 直通）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHomeWay.Weekdays.71,train_type_chiyoda_romance_car_metro_home_way_weekdays_71,#ffffff,#ff0000,6,,"2015-01-29 02:16:23.760452","2015-01-29 02:16:23.760452"
25,2,"千代田線 特急ロマンスカー メトロホームウェイ 41号（平日／小田急線 直通）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHomeWay.Weekdays.41,train_type_chiyoda_romance_car_metro_home_way_weekdays_41,#ffffff,#ff0000,6,,"2015-01-29 02:16:24.044461","2015-01-29 02:16:24.044461"
26,2,"千代田線 特急ロマンスカー メトロホームウェイ 43号（平日／小田急線 直通）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHomeWay.Weekdays.43,train_type_chiyoda_romance_car_metro_home_way_weekdays_43,#ffffff,#ff0000,6,,"2015-01-29 02:16:24.332469","2015-01-29 02:16:24.332469"
27,2,"千代田線 特急ロマンスカー メトロはこね 21号（土休日／小田急線 直通）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHakone.SaturdaysHolidays.21,train_type_chiyoda_romance_car_metro_hakone_saturdays_holidays_21,#ffffff,#ff0000,6,,"2015-01-29 02:16:24.553476","2015-01-29 02:16:24.553476"
28,2,"千代田線 特急ロマンスカー メトロはこね 23号（土休日／小田急線 直通）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHakone.SaturdaysHolidays.23,train_type_chiyoda_romance_car_metro_hakone_saturdays_holidays_23,#ffffff,#ff0000,6,,"2015-01-29 02:16:24.817484","2015-01-29 02:16:24.817484"
29,2,"千代田線 特急ロマンスカー メトロホームウェイ 43号（土休日／小田急線 直通）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHomeWay.SaturdaysHolidays.43,train_type_chiyoda_romance_car_metro_home_way_saturdays_holidays_43,#ffffff,#ff0000,6,,"2015-01-29 02:16:25.100493","2015-01-29 02:16:25.100493"
30,2,"千代田線 特急ロマンスカー メトロさがみ 70号（平日／小田急線から 千代田線内からの乗車は不可）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroSagami.Weekdays.70,train_type_chiyoda_romance_car_metro_sagami_weekdays_70,#ffffff,#ff0000,6,,"2015-01-29 02:16:25.430503","2015-01-29 02:16:25.430503"
31,2,"千代田線 特急ロマンスカー メトロはこね 22号（平日／小田急線から 千代田線内からの乗車は不可）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHakone.Weekdays.22,train_type_chiyoda_romance_car_metro_hakone_weekdays_22,#ffffff,#ff0000,6,,"2015-01-29 02:16:25.697511","2015-01-29 02:16:25.697511"
32,2,"千代田線 特急ロマンスカー メトロさがみ 80号（土休日／小田急線から 千代田線内からの乗車は不可）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroSagami.SaturdaysHolidays.80,train_type_chiyoda_romance_car_metro_sagami_saturdays_holidays_80,#ffffff,#ff0000,6,,"2015-01-29 02:16:26.064522","2015-01-29 02:16:26.064522"
33,2,"千代田線 特急ロマンスカー メトロはこね 22号（土休日／小田急線から 千代田線内からの乗車は不可）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHakone.SaturdaysHolidays.22,train_type_chiyoda_romance_car_metro_hakone_saturdays_holidays_22,#ffffff,#ff0000,6,,"2015-01-29 02:16:26.269528","2015-01-29 02:16:26.269528"
34,2,"千代田線 特急ロマンスカー メトロはこね 24号（土休日／小田急線から 千代田線内からの乗車は不可）",custom.TrainType:TokyoMetro.Chiyoda.RomanceCar.MetroHakone.SaturdaysHolidays.24,train_type_chiyoda_romance_car_metro_hakone_saturdays_holidays_24,#ffffff,#ff0000,6,,"2015-01-29 02:16:26.564537","2015-01-29 02:16:26.564537"
35,1,"半蔵門線 各駅停車",custom.TrainType:TokyoMetro.Hanzomon.Local.Normal,train_type_hanzomon_local_normal,#ffffff,#666666,9,,"2015-01-29 02:16:26.831546","2015-01-29 02:16:26.831546"
36,1,"半蔵門線 各駅停車（東急田園都市線 直通）",custom.TrainType:TokyoMetro.Hanzomon.Local.ToTokyu,train_type_hanzomon_local_to_tokyu,#ffffff,#0000ff,9,,"2015-01-29 02:16:27.103554","2015-01-29 02:16:27.103554"
37,5,"半蔵門線 準急（東急田園都市線 直通）",custom.TrainType:TokyoMetro.Hanzomon.SemiExpress.ToTokyu,train_type_hanzomon_semi_express_to_tokyu,#ffffff,#018d54,9,,"2015-01-29 02:16:27.337561","2015-01-29 02:16:27.337561"
38,4,"半蔵門線 急行（東急田園都市線 直通／土休日運行／南町田に停車）",custom.TrainType:TokyoMetro.Hanzomon.HolidayExpress.ToTokyu,train_type_hanzomon_holiday_express_to_tokyu,#333333,#ff3399,9,,"2015-01-29 02:16:27.612569","2015-01-29 02:16:27.612569"
39,3,"半蔵門線 急行（東急田園都市線 直通）",custom.TrainType:TokyoMetro.Hanzomon.Express.ToTokyu,train_type_hanzomon_express_to_tokyu,#ffffff,#ee0011,9,,"2015-01-29 02:16:27.886578","2015-01-29 02:16:27.886578"
40,5,"半蔵門線 準急（東武線 直通）",custom.TrainType:TokyoMetro.Hanzomon.SemiExpress.ToTobu,train_type_hanzomon_semi_express_to_tobu,#ffffff,#009900,9,,"2015-01-29 02:16:28.138585","2015-01-29 02:16:28.138585"
41,3,"半蔵門線 急行（東武線 直通）",custom.TrainType:TokyoMetro.Hanzomon.Express.ToTobu,train_type_hanzomon_express_to_tobu,#ffffff,#ff0000,9,,"2015-01-29 02:16:28.402594","2015-01-29 02:16:28.402594"
42,1,"南北線 各駅停車",custom.TrainType:TokyoMetro.Namboku.Local.Normal,train_type_namboku_local_normal,#ffffff,#666666,10,,"2015-01-29 02:16:28.644601","2015-01-29 02:16:28.644601"
43,1,"南北線 各駅停車（東急目黒線 直通）",custom.TrainType:TokyoMetro.Namboku.Local.ToTokyu,train_type_namboku_local_to_tokyu,#ffffff,#00b379,10,,"2015-01-29 02:16:28.908609","2015-01-29 02:16:28.908609"
