5229,38,38,2,"2015-02-09 18:39:00.955112","2015-02-09 18:39:00.955112"
5230,38,25,3,"2015-02-09 18:39:01.117116","2015-02-09 18:39:01.117116"
5231,39,22,1,"2015-02-09 18:39:01.323120","2015-02-09 18:39:01.323120"
5232,39,23,2,"2015-02-09 18:39:01.484124","2015-02-09 18:39:01.484124"
5233,40,26,1,"2015-02-09 18:39:01.865132","2015-02-09 18:39:01.865132"
5234,40,39,2,"2015-02-09 18:39:02.017136","2015-02-09 18:39:02.017136"
5235,41,26,1,"2015-02-09 18:39:02.372144","2015-02-09 18:39:02.372144"
5236,41,40,2,"2015-02-09 18:39:02.550148","2015-02-09 18:39:02.550148"
5237,42,25,1,"2015-02-09 18:39:02.839154","2015-02-09 18:39:02.839154"
5238,42,29,2,"2015-02-09 18:39:03.002158","2015-02-09 18:39:03.002158"
5239,43,26,1,"2015-02-09 18:39:03.190162","2015-02-09 18:39:03.190162"
5240,43,41,2,"2015-02-09 18:39:03.366166","2015-02-09 18:39:03.366166"
5241,44,26,1,"2015-02-09 18:39:04.385189","2015-02-09 18:39:04.385189"
5242,44,40,2,"2015-02-09 18:39:04.572193","2015-02-09 18:39:04.572193"
5243,45,25,1,"2015-02-09 18:39:04.894200","2015-02-09 18:39:04.894200"
5244,45,31,2,"2015-02-09 18:39:05.030203","2015-02-09 18:39:05.030203"
5245,46,32,1,"2015-02-09 18:39:05.396211","2015-02-09 18:39:05.396211"
5246,46,33,2,"2015-02-09 18:39:05.798220","2015-02-09 18:39:05.798220"
5247,46,34,3,"2015-02-09 18:39:05.971224","2015-02-09 18:39:05.971224"
5248,47,35,0,"2015-02-09 18:39:06.154228","2015-02-09 18:39:06.154228"
5249,48,36,0,"2015-02-09 18:39:06.343232","2015-02-09 18:39:06.343232"
5250,50,42,1,"2015-02-09 18:39:06.735241","2015-02-09 18:39:06.735241"
5251,50,43,2,"2015-02-09 18:39:06.910245","2015-02-09 18:39:06.910245"
5252,51,44,1,"2015-02-09 18:39:07.145250","2015-02-09 18:39:07.145250"
5253,51,43,2,"2015-02-09 18:39:07.436257","2015-02-09 18:39:07.436257"
5254,52,43,1,"2015-02-09 18:39:07.581260","2015-02-09 18:39:07.581260"
5255,52,45,2,"2015-02-09 18:39:07.734263","2015-02-09 18:39:07.734263"
5256,53,43,1,"2015-02-09 18:39:07.880266","2015-02-09 18:39:07.880266"
5257,53,45,2,"2015-02-09 18:39:08.020270","2015-02-09 18:39:08.020270"
5258,54,46,0,"2015-02-09 18:39:08.349277","2015-02-09 18:39:08.349277"
5259,56,47,1,"2015-02-09 18:39:08.552281","2015-02-09 18:39:08.552281"
5260,56,48,2,"2015-02-09 18:39:08.691285","2015-02-09 18:39:08.691285"
5261,57,48,1,"2015-02-09 18:39:08.848288","2015-02-09 18:39:08.848288"
5262,57,49,2,"2015-02-09 18:39:08.973291","2015-02-09 18:39:08.973291"
5263,58,47,1,"2015-02-09 18:39:09.132294","2015-02-09 18:39:09.132294"
5264,58,50,2,"2015-02-09 18:39:09.341299","2015-02-09 18:39:09.341299"
5265,59,51,0,"2015-02-09 18:39:09.534303","2015-02-09 18:39:09.534303"
5266,60,52,1,"2015-02-09 18:39:09.680307","2015-02-09 18:39:09.680307"
5267,60,48,2,"2015-02-09 18:39:09.826310","2015-02-09 18:39:09.826310"
5268,61,52,1,"2015-02-09 18:39:09.981313","2015-02-09 18:39:09.981313"
5269,61,48,2,"2015-02-09 18:39:10.123317","2015-02-09 18:39:10.123317"
5270,62,53,1,"2015-02-09 18:39:10.451324","2015-02-09 18:39:10.451324"
5271,62,48,2,"2015-02-09 18:39:10.606327","2015-02-09 18:39:10.606327"
5272,63,54,1,"2015-02-09 18:39:10.923334","2015-02-09 18:39:10.923334"
