1,140,70,133,66,1,2014-04-01,"2015-01-29 02:06:14.543871","2015-01-29 02:06:14.543871"
2,170,90,165,82,1,2014-04-01,"2015-01-29 02:06:14.666875","2015-01-29 02:06:14.666875"
3,200,100,195,97,1,2014-04-01,"2015-01-29 02:06:14.798879","2015-01-29 02:06:14.798879"
4,240,120,237,118,1,2014-04-01,"2015-01-29 02:06:14.920883","2015-01-29 02:06:14.920883"
5,280,140,278,139,1,2014-04-01,"2015-01-29 02:06:15.058887","2015-01-29 02:06:15.058887"
6,310,160,308,154,1,2014-04-01,"2015-01-29 02:06:15.184891","2015-01-29 02:06:15.184891"
