63,63,4,f,f,,"2015-01-29 02:07:41.995539","2015-01-29 02:07:41.995539"
64,64,4,f,f,,"2015-01-29 02:07:42.252546","2015-01-29 02:07:42.252546"
65,65,4,f,f,,"2015-01-29 02:07:42.491554","2015-01-29 02:07:42.491554"
66,66,4,f,f,,"2015-01-29 02:07:42.765562","2015-01-29 02:07:42.765562"
67,67,4,f,f,,"2015-01-29 02:07:43.042571","2015-01-29 02:07:43.042571"
68,68,4,f,f,,"2015-01-29 02:07:43.326579","2015-01-29 02:07:43.326579"
69,69,4,f,f,,"2015-01-29 02:07:44.058602","2015-01-29 02:07:44.058602"
70,70,5,f,f,,"2015-01-29 02:07:44.854626","2015-01-29 02:07:44.854626"
71,70,6,f,f,,"2015-01-29 02:07:45.106633","2015-01-29 02:07:45.106633"
72,70,7,f,f,,"2015-01-29 02:07:45.372642","2015-01-29 02:07:45.372642"
73,71,5,f,f,,"2015-01-29 02:07:45.682651","2015-01-29 02:07:45.682651"
74,71,6,f,f,,"2015-01-29 02:07:45.831656","2015-01-29 02:07:45.831656"
75,71,7,f,f,,"2015-01-29 02:07:46.039662","2015-01-29 02:07:46.039662"
76,72,5,f,f,,"2015-01-29 02:07:46.342671","2015-01-29 02:07:46.342671"
77,72,6,f,f,,"2015-01-29 02:07:46.490676","2015-01-29 02:07:46.490676"
78,72,7,f,f,,"2015-01-29 02:07:46.633680","2015-01-29 02:07:46.633680"
79,73,5,f,f,,"2015-01-29 02:07:46.904688","2015-01-29 02:07:46.904688"
80,73,6,f,f,,"2015-01-29 02:07:47.041693","2015-01-29 02:07:47.041693"
81,73,7,f,f,,"2015-01-29 02:07:47.195697","2015-01-29 02:07:47.195697"
82,74,5,f,f,,"2015-01-29 02:07:47.476706","2015-01-29 02:07:47.476706"
83,74,6,f,f,,"2015-01-29 02:07:47.623710","2015-01-29 02:07:47.623710"
84,74,7,f,f,,"2015-01-29 02:07:47.756714","2015-01-29 02:07:47.756714"
85,75,5,f,f,,"2015-01-29 02:07:48.088724","2015-01-29 02:07:48.088724"
86,75,6,f,f,,"2015-01-29 02:07:48.240729","2015-01-29 02:07:48.240729"
87,75,7,f,f,,"2015-01-29 02:07:48.383733","2015-01-29 02:07:48.383733"
88,76,5,f,f,,"2015-01-29 02:07:48.960751","2015-01-29 02:07:48.960751"
89,76,6,f,f,,"2015-01-29 02:07:49.096755","2015-01-29 02:07:49.096755"
90,76,7,f,f,,"2015-01-29 02:07:49.242760","2015-01-29 02:07:49.242760"
91,77,5,f,f,,"2015-01-29 02:07:49.556769","2015-01-29 02:07:49.556769"
92,77,6,f,f,,"2015-01-29 02:07:49.715774","2015-01-29 02:07:49.715774"
93,77,7,f,f,,"2015-01-29 02:07:49.893779","2015-01-29 02:07:49.893779"
94,78,5,f,f,,"2015-01-29 02:07:50.316792","2015-01-29 02:07:50.316792"
95,78,6,f,f,,"2015-01-29 02:07:50.485798","2015-01-29 02:07:50.485798"
96,78,7,f,f,,"2015-01-29 02:07:50.628802","2015-01-29 02:07:50.628802"
97,79,5,f,f,,"2015-01-29 02:07:50.876809","2015-01-29 02:07:50.876809"
98,79,6,f,f,,"2015-01-29 02:07:51.002813","2015-01-29 02:07:51.002813"
99,79,7,f,f,,"2015-01-29 02:07:51.121817","2015-01-29 02:07:51.121817"
100,80,5,f,f,,"2015-01-29 02:07:51.383825","2015-01-29 02:07:51.383825"
101,80,6,f,f,,"2015-01-29 02:07:51.531829","2015-01-29 02:07:51.531829"
102,80,7,f,f,,"2015-01-29 02:07:51.663833","2015-01-29 02:07:51.663833"
103,81,5,f,f,,"2015-01-29 02:07:51.966843","2015-01-29 02:07:51.966843"
104,81,6,f,f,,"2015-01-29 02:07:52.114847","2015-01-29 02:07:52.114847"
105,81,7,f,f,,"2015-01-29 02:07:52.235851","2015-01-29 02:07:52.235851"
106,82,5,f,f,,"2015-01-29 02:07:52.505859","2015-01-29 02:07:52.505859"
107,82,6,f,f,,"2015-01-29 02:07:52.620863","2015-01-29 02:07:52.620863"
108,82,7,f,f,,"2015-01-29 02:07:52.741866","2015-01-29 02:07:52.741866"
109,83,5,f,f,,"2015-01-29 02:07:52.989874","2015-01-29 02:07:52.989874"
110,83,6,f,f,,"2015-01-29 02:07:53.126878","2015-01-29 02:07:53.126878"
111,83,7,f,f,,"2015-01-29 02:07:53.258882","2015-01-29 02:07:53.258882"
112,84,5,f,f,,"2015-01-29 02:07:53.551891","2015-01-29 02:07:53.551891"
113,84,6,f,f,,"2015-01-29 02:07:53.699896","2015-01-29 02:07:53.699896"
114,85,5,f,f,,"2015-01-29 02:07:54.025906","2015-01-29 02:07:54.025906"
115,85,6,f,f,,"2015-01-29 02:07:54.161910","2015-01-29 02:07:54.161910"
116,86,5,f,f,,"2015-01-29 02:07:54.465919","2015-01-29 02:07:54.465919"
117,86,6,f,f,,"2015-01-29 02:07:54.590923","2015-01-29 02:07:54.590923"
118,87,5,f,f,,"2015-01-29 02:07:54.883932","2015-01-29 02:07:54.883932"
119,87,6,f,f,,"2015-01-29 02:07:55.031936","2015-01-29 02:07:55.031936"
120,87,7,f,f,,"2015-01-29 02:07:55.173941","2015-01-29 02:07:55.173941"
121,88,5,f,f,,"2015-01-29 02:07:55.455949","2015-01-29 02:07:55.455949"
122,89,5,f,f,,"2015-01-29 02:07:55.729957","2015-01-29 02:07:55.729957"
123,90,5,f,f,,"2015-01-29 02:07:56.073968","2015-01-29 02:07:56.073968"
124,91,5,f,f,,"2015-01-29 02:07:56.335976","2015-01-29 02:07:56.335976"
125,92,5,f,f,,"2015-01-29 02:07:56.834991","2015-01-29 02:07:56.834991"
