59,1,t,,,7,0,f,"2015-01-29 02:33:26.375641","2015-01-29 02:33:26.375641"
60,1,f,7,0,10,0,f,"2015-01-29 02:33:27.851686","2015-01-29 02:33:27.851686"
61,,t,,,21,30,f,"2015-01-29 02:33:51.048393","2015-01-29 02:33:51.048393"
62,,f,21,30,,,t,"2015-01-29 02:33:51.388404","2015-01-29 02:33:51.388404"
63,,f,10,0,20,30,f,"2015-01-29 02:34:04.947817","2015-01-29 02:34:04.947817"
64,1,f,8,0,9,15,f,"2015-01-29 02:34:26.886486","2015-01-29 02:34:26.886486"
65,1,f,9,15,,,t,"2015-01-29 02:34:27.182495","2015-01-29 02:34:27.182495"
66,1,t,,,17,0,f,"2015-01-29 02:34:37.264803","2015-01-29 02:34:37.264803"
67,1,f,17,0,,,t,"2015-01-29 02:34:37.607813","2015-01-29 02:34:37.607813"
68,1,f,8,30,9,30,f,"2015-01-29 02:34:41.182922","2015-01-29 02:34:41.182922"
69,,t,,,22,0,f,"2015-01-29 02:35:21.549153","2015-01-29 02:35:21.549153"
70,,f,5,30,0,30,f,"2015-01-29 02:35:52.497097","2015-01-29 02:35:52.497097"
71,,f,6,0,0,0,f,"2015-01-29 02:35:56.481219","2015-01-29 02:35:56.481219"
72,1,f,11,0,15,0,f,"2015-01-29 02:36:56.720056","2015-01-29 02:36:56.720056"
73,1,f,15,0,,,t,"2015-01-29 02:36:57.017065","2015-01-29 02:36:57.017065"
74,,f,6,0,20,0,f,"2015-01-29 02:37:50.777705","2015-01-29 02:37:50.777705"
75,,f,7,0,23,30,f,"2015-01-29 02:37:53.341783","2015-01-29 02:37:53.341783"
76,,t,,,,,t,"2015-01-29 02:38:51.045543","2015-01-29 02:38:51.045543"
77,,f,10,0,16,30,f,"2015-01-29 02:39:01.728869","2015-01-29 02:39:01.728869"
78,,f,16,30,,,t,"2015-01-29 02:39:02.094880","2015-01-29 02:39:02.094880"
79,,f,7,0,22,30,f,"2015-01-29 02:40:18.330205","2015-01-29 02:40:18.330205"
80,,f,6,0,0,20,f,"2015-01-29 02:40:24.596396","2015-01-29 02:40:24.596396"
81,1,f,6,0,0,30,f,"2015-01-29 02:40:25.359419","2015-01-29 02:40:25.359419"
82,2,f,6,0,0,20,f,"2015-01-29 02:40:25.688429","2015-01-29 02:40:25.688429"
83,1,f,6,0,17,0,f,"2015-01-29 02:40:36.397756","2015-01-29 02:40:36.397756"
84,1,f,17,0,23,0,f,"2015-01-29 02:40:36.704765","2015-01-29 02:40:36.704765"
85,2,f,6,0,16,0,f,"2015-01-29 02:40:37.001774","2015-01-29 02:40:37.001774"
86,2,f,16,0,23,0,f,"2015-01-29 02:40:37.332785","2015-01-29 02:40:37.332785"
87,,f,9,30,20,30,f,"2015-01-29 02:41:43.177793","2015-01-29 02:41:43.177793"
88,,f,7,0,15,0,f,"2015-01-29 02:41:49.109974","2015-01-29 02:41:49.109974"
89,,f,15,0,,,t,"2015-01-29 02:41:49.416983","2015-01-29 02:41:49.416983"
90,,t,,,0,30,f,"2015-01-29 02:42:02.706388","2015-01-29 02:42:02.706388"
91,,t,,,8,0,f,"2015-01-29 02:42:55.056985","2015-01-29 02:42:55.056985"
92,,f,8,0,9,30,f,"2015-01-29 02:42:55.352994","2015-01-29 02:42:55.352994"
93,,f,9,30,,,t,"2015-01-29 02:42:55.661003","2015-01-29 02:42:55.661003"
94,,f,5,10,,,t,"2015-01-29 02:43:48.347610","2015-01-29 02:43:48.347610"
95,1,f,6,0,23,0,f,"2015-01-29 02:43:52.731744","2015-01-29 02:43:52.731744"
96,,f,7,30,22,0,f,"2015-01-29 02:44:26.658779","2015-01-29 02:44:26.658779"
