25,urn:ucode:_00001C000000000000010000030D4DB4,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Inside.Elevator.2,3,1,1,,f,"2015-01-29 02:27:37.239992","2015-01-29 02:27:37.239992"
26,urn:ucode:_00001C000000000000010000030D4DB5,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Inside.Escalator.1,3,2,1,,f,"2015-01-29 02:27:38.318025","2015-01-29 02:27:38.948045"
27,urn:ucode:_00001C000000000000010000030D4DB6,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Outside.Elevator.1,3,1,2,,f,"2015-01-29 02:27:39.116050","2015-01-29 02:27:39.116050"
28,urn:ucode:_00001C000000000000010000030D4DB7,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Outside.Elevator.2,3,1,2,,f,"2015-01-29 02:27:40.266085","2015-01-29 02:27:40.266085"
29,urn:ucode:_00001C000000000000010000030D4DB8,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Outside.Elevator.3,3,1,2,,f,"2015-01-29 02:27:41.004107","2015-01-29 02:27:41.004107"
30,urn:ucode:_00001C000000000000010000030D4DB9,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Outside.Escalator.1,3,2,2,,f,"2015-01-29 02:27:41.576125","2015-01-29 02:27:43.285177"
31,urn:ucode:_00001C000000000000010000030D4DBA,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Outside.Escalator.2,3,2,2,,f,"2015-01-29 02:27:43.447182","2015-01-29 02:27:44.056200"
32,urn:ucode:_00001C000000000000010000030D4DBB,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Outside.Escalator.3,3,2,2,,f,"2015-01-29 02:27:44.218205","2015-01-29 02:27:44.968228"
33,urn:ucode:_00001C000000000000010000030D4DBC,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Inside.Stairlift.1,3,5,1,,f,"2015-01-29 02:27:45.278238","2015-01-29 02:27:45.278238"
34,urn:ucode:_00001C000000000000010000030D4DBD,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Outside.Toilet.1,3,3,2,,f,"2015-01-29 02:27:46.308269","2015-01-29 02:27:46.308269"
35,urn:ucode:_00001C000000000000010000030D4DBE,odpt.StationFacility:TokyoMetro.Ginza.AkasakaMitsuke.Inside.Toilet.1,3,3,1,,f,"2015-01-29 02:27:46.925288","2015-01-29 02:27:46.925288"
