16,"日暮里・舎人ライナー","日暮里・舎人ライナー","都営日暮里・舎人ライナー","日暮里・舎人ライナー","","Nippori Toneri Liner","Nippori Toneri Liner","Toei Nippori Toneri Liner","Nippori Toneri Liner",3,odpt.Railway:Toei.NipporiToneri,,#ff69b4,nippori_toneri,,,,,"2015-01-29 02:06:24.221167","2015-01-29 02:06:24.221167",,f,,f,
17,"荒川線","荒川線","都電荒川線","都電荒川線","","Arakawa Line","Arakawa Line","Toden Arakawa Line","Toden Arakawa Line",4,odpt.Railway:Toei.TodenArakawa,,#66cc66,toden_arakawa,,,,,"2015-01-29 02:06:24.353171","2015-01-29 02:06:24.353171",,f,,f,
18,"JR各線","JR各線","JR各線","JR各線","","JR Lines","JR Lines","JR Lines","JR Lines",5,odpt.Railway:JR-East,,#999999,jrs,,,,,"2015-01-29 02:06:24.485175","2015-01-29 02:06:24.485175",,f,,f,
19,"山手線","山手線","JR山手線","JR山手線","","Yamanote Line","Yamanote Line","JR Yamanote Line","JR Yamanote Line",5,odpt.Railway:JR-East.Yamanote,,#80c241,jr_yamanote,,,,,"2015-01-29 02:06:24.607178","2015-01-29 02:06:24.607178",,f,,f,
20,"京浜東北線","京浜東北線","JR京浜東北線","JR京浜東北線","","Keihin-Tohoku Line","Keihin-Tohoku Line","JR Keihin-Tohoku Line","JR Keihin-Tohoku Line",5,odpt.Railway:JR-East.KeihinTohoku,,#00b2e5,jr_keihin_tohoku,,,,,"2015-01-29 02:06:24.739182","2015-01-29 02:06:24.739182",,f,,f,
21,"東海道線","東海道線","JR東海道線","JR東海道線","","Tokaido Line","Tokaido Line","JR Tokaido Line","JR Tokaido Line",5,odpt.Railway:JR-East.Tokaido,,#f68b1e,jr_tokaido,,,,,"2015-01-29 02:06:24.892187","2015-01-29 02:06:24.892187",,f,,f,
22,"横須賀線","横須賀線","JR横須賀線","JR横須賀線","","Yokosuka Line","Yokosuka Line","JR Yokosuka Line","JR Yokosuka Line",5,odpt.Railway:JR-East.Yokosuka,,#007ac0,jr_yokosuka,,,,,"2015-01-29 02:06:25.046192","2015-01-29 02:06:25.046192",,f,,f,
23,"高崎線","高崎線","JR高崎線","JR高崎線","","Takasaki Line","Takasaki Line","JR Takasaki Line","JR Takasaki Line",5,odpt.Railway:JR-East.Takasaki,,#f68b1e,jr_takasaki,,,,,"2015-01-29 02:06:25.178196","2015-01-29 02:06:25.178196",,f,,f,
24,"宇都宮線","宇都宮線","JR宇都宮線","JR宇都宮線","","Utsunomiya Line","Utsunomiya Line","JR Utsunomiya Line","JR Utsunomiya Line",5,odpt.Railway:JR-East.Utsunomiya,,#f68b1e,jr_utsunomiya,,,,,"2015-01-29 02:06:25.321200","2015-01-29 02:06:25.321200",,f,,f,
25,"湘南新宿ライン","湘南新宿ライン","JR湘南新宿ライン","JR湘南新宿ライン","","Shonan-Shinjuku Line","Shonan-Shinjuku Line","JR Shonan-Shinjuku Line","JR Shonan-Shinjuku Line",5,odpt.Railway:JR-East.ShonanShinjuku,,#e21f26,jr_shonan_shinjuku,,,,,"2015-01-29 02:06:25.487205","2015-01-29 02:06:25.487205",,f,,f,
