65,100,1,,2,"2015-01-29 02:46:14.948082","2015-01-29 02:46:14.948082"
66,101,1,,2,"2015-01-29 02:46:15.716105","2015-01-29 02:46:15.716105"
67,103,1,,2,"2015-01-29 02:46:16.870140","2015-01-29 02:46:16.870140"
68,105,12,,5,"2015-01-29 02:46:17.832169","2015-01-29 02:46:17.832169"
69,108,12,,5,"2015-01-29 02:46:18.811199","2015-01-29 02:46:18.811199"
70,110,55,,4,"2015-01-29 02:46:20.018236","2015-01-29 02:46:20.018236"
71,111,12,,5,"2015-01-29 02:46:21.141270","2015-01-29 02:46:21.141270"
72,114,12,,5,"2015-01-29 02:46:22.311306","2015-01-29 02:46:22.311306"
73,116,55,,4,"2015-01-29 02:46:23.378339","2015-01-29 02:46:23.378339"
74,122,6,,12,"2015-01-29 02:46:25.213395","2015-01-29 02:46:25.213395"
75,122,14,,4,"2015-01-29 02:46:25.378400","2015-01-29 02:46:25.378400"
76,128,6,,12,"2015-01-29 02:46:27.175454","2015-01-29 02:46:27.175454"
77,128,14,,4,"2015-01-29 02:46:27.347460","2015-01-29 02:46:27.347460"
78,138,7,20,4,"2015-01-29 02:46:32.055603","2015-01-29 02:46:32.055603"
79,142,6,15,4,"2015-01-29 02:46:34.318672","2015-01-29 02:46:34.318672"
80,142,35,,4,"2015-01-29 02:46:34.482677","2015-04-13 20:58:06.630700"
81,153,7,20,4,"2015-01-29 02:46:38.702806","2015-01-29 02:46:38.702806"
82,154,7,20,4,"2015-01-29 02:46:39.534831","2015-01-29 02:46:39.534831"
83,155,15,,10,"2015-01-29 02:46:40.510861","2015-01-29 02:46:40.510861"
84,157,15,,10,"2015-01-29 02:46:41.985906","2015-01-29 02:46:41.985906"
85,159,15,,10,"2015-01-29 02:46:43.185943","2015-01-29 02:46:43.185943"
86,160,15,,10,"2015-01-29 02:46:44.175973","2015-01-29 02:46:44.175973"
87,161,15,,10,"2015-01-29 02:46:44.956997","2015-01-29 02:46:44.956997"
88,163,15,,10,"2015-01-29 02:46:46.014029","2015-01-29 02:46:46.014029"
89,165,15,,10,"2015-01-29 02:46:47.129063","2015-01-29 02:46:47.129063"
90,166,15,,10,"2015-01-29 02:46:48.127093","2015-01-29 02:46:48.127093"
91,269,18,,4,"2015-01-29 02:47:26.362260","2015-01-29 02:47:26.362260"
92,277,18,,4,"2015-01-29 02:47:29.242347","2015-01-29 02:47:29.242347"
93,317,2,,5,"2015-01-29 02:47:43.585785","2015-01-29 02:47:43.585785"
94,317,4,,3,"2015-01-29 02:47:43.738790","2015-01-29 02:47:43.738790"
95,318,2,,5,"2015-01-29 02:47:44.873824","2015-01-29 02:47:44.873824"
96,318,4,,3,"2015-01-29 02:47:45.026829","2015-01-29 02:47:45.026829"
97,319,2,,5,"2015-01-29 02:47:45.856854","2015-01-29 02:47:45.856854"
98,319,4,,3,"2015-01-29 02:47:46.040860","2015-01-29 02:47:46.040860"
99,323,2,,5,"2015-01-29 02:47:47.856915","2015-01-29 02:47:47.856915"
100,323,4,,3,"2015-01-29 02:47:48.031920","2015-01-29 02:47:48.031920"
101,324,2,,5,"2015-01-29 02:47:48.791944","2015-01-29 02:47:48.791944"
102,324,4,,3,"2015-01-29 02:47:48.969949","2015-01-29 02:47:48.969949"
103,325,2,,5,"2015-01-29 02:47:49.818975","2015-01-29 02:47:49.818975"
104,325,4,,3,"2015-01-29 02:47:49.989980","2015-01-29 02:47:49.989980"
105,328,1,,5,"2015-01-29 02:47:52.016042","2015-01-29 02:47:52.016042"
106,328,4,,3,"2015-01-29 02:47:52.185047","2015-01-29 02:47:52.185047"
107,331,1,,5,"2015-01-29 02:47:54.200109","2015-01-29 02:47:54.200109"
108,331,4,,3,"2015-01-29 02:47:54.349113","2015-01-29 02:47:54.349113"
109,334,1,,5,"2015-01-29 02:47:56.749186","2015-01-29 02:47:56.749186"
110,334,4,,3,"2015-01-29 02:47:56.902191","2015-01-29 02:47:56.902191"
111,337,1,,5,"2015-01-29 02:47:58.785248","2015-01-29 02:47:58.785248"
112,337,4,,3,"2015-01-29 02:47:58.938253","2015-01-29 02:47:58.938253"
113,339,1,,3,"2015-01-29 02:48:00.558303","2015-01-29 02:48:00.558303"
114,346,2,,3,"2015-01-29 02:48:04.155412","2015-01-29 02:48:04.155412"
115,347,1,,3,"2015-01-29 02:48:05.014438","2015-01-29 02:48:05.014438"
116,354,2,,3,"2015-01-29 02:48:08.558547","2015-01-29 02:48:08.558547"
