1,1,odpt.TrainOwner:TokyoMetro,"2015-01-29 02:06:13.285833","2015-01-29 02:06:13.285833"
2,2,odpt.TrainOwner:Toei,"2015-01-29 02:06:13.411837","2015-01-29 02:06:13.411837"
3,5,odpt.TrainOwner:JR-East,"2015-01-29 02:06:13.554841","2015-01-29 02:06:13.554841"
4,7,odpt.TrainOwner:Tokyu,"2015-01-29 02:06:13.686845","2015-01-29 02:06:13.686845"
5,9,odpt.TrainOwner:Odakyu,"2015-01-29 02:06:13.803849","2015-01-29 02:06:13.803849"
6,11,odpt.TrainOwner:Seibu,"2015-01-29 02:06:13.994855","2015-01-29 02:06:13.994855"
7,12,odpt.TrainOwner:Tobu,"2015-01-29 02:06:14.126859","2015-01-29 02:06:14.126859"
8,13,odpt.TrainOwner:SaitamaRailway,"2015-01-29 02:06:14.249862","2015-01-29 02:06:14.249862"
9,14,odpt.TrainOwner:ToyoRapidRailway,"2015-01-29 02:06:14.379866","2015-01-29 02:06:14.379866"
