63,"国立劇場","2015-01-29 02:48:35.014353","2015-01-29 02:48:35.014353"
64,"八丁堀交差点","2015-01-29 02:48:39.714497","2015-01-29 02:48:39.714497"
65,"亀島橋","2015-01-29 02:48:40.052507","2015-01-29 02:48:40.052507"
66,"住友ツインビル","2015-01-29 02:48:42.112570","2015-01-29 02:48:42.112570"
67,"都立練馬工業高校","2015-01-29 02:48:45.382670","2015-01-29 02:48:45.382670"
68,"環八通り","2015-01-29 02:48:45.701679","2015-01-29 02:48:45.701679"
69,"日比谷公園","2015-01-29 02:49:01.973176","2015-01-29 02:49:01.973176"
70,"帝国劇場","2015-01-29 02:49:02.387188","2015-01-29 02:49:02.387188"
71,"帝国ホテル","2015-01-29 02:49:08.285368","2015-01-29 02:49:08.285368"
72,"日比谷交差点","2015-01-29 02:49:10.278429","2015-01-29 02:49:10.278429"
73,"新橋演舞場","2015-01-29 02:49:17.564651","2015-01-29 02:49:17.564651"
74,"歌舞伎座","2015-01-29 02:49:18.719686","2015-01-29 02:49:18.719686"
75,"三原橋交差点","2015-01-29 02:49:20.854751","2015-01-29 02:49:20.854751"
76,"サンシャインシティ","2015-01-29 02:49:25.158883","2015-01-29 02:49:25.158883"
77,"ライズシティ池袋","2015-01-29 02:49:25.487893","2015-01-29 02:49:25.487893"
78,"都電荒川線東池袋四丁目","2015-01-29 02:49:27.600957","2015-01-29 02:49:27.600957"
79,"雑司ヶ谷霊園","2015-01-29 02:49:27.989969","2015-01-29 02:49:27.989969"
80,"セシオン杉並ホール","2015-01-29 02:49:35.009183","2015-01-29 02:49:35.009183"
81,"蚕糸の森公園","2015-01-29 02:49:35.327193","2015-01-29 02:49:35.327193"
82,"明治通り","2015-01-29 02:49:38.674295","2015-01-29 02:49:38.674295"
83,"城北中央公園","2015-01-29 02:49:47.720571","2015-01-29 02:49:47.720571"
84,"氷川神社","2015-01-29 02:49:48.105583","2015-01-29 02:49:48.105583"
85,"日赤医療センター","2015-01-29 02:50:01.841002","2015-01-29 02:50:01.841002"
86,"有栖川宮記念公園","2015-01-29 02:50:03.459051","2015-01-29 02:50:03.459051"
87,"天現寺橋交差点","2015-01-29 02:50:03.800061","2015-01-29 02:50:03.800061"
88,"環七通り","2015-01-29 02:50:06.441142","2015-01-29 02:50:06.441142"
89,"普門館","2015-01-29 02:50:06.771152","2015-01-29 02:50:06.771152"
90,"方南通り","2015-01-29 02:50:07.443172","2015-01-29 02:50:07.443172"
91,"東京大学","2015-01-29 02:50:09.655240","2015-01-29 02:50:09.655240"
92,"都立駒込病院","2015-01-29 02:50:15.521419","2015-01-29 02:50:15.521419"
93,"東洋大学","2015-01-29 02:50:15.796427","2015-01-29 02:50:15.796427"
94,"法政大学","2015-01-29 02:50:20.781579","2015-01-29 02:50:20.781579"
95,"保健会館","2015-01-29 02:50:21.067588","2015-01-29 02:50:21.067588"
96,"防衛省","2015-01-29 02:50:22.972646","2015-01-29 02:50:22.972646"
97,"アルカディア市ケ谷（私学会館）","2015-01-29 02:50:24.380689","2015-01-29 02:50:24.380689"
98,"日本棋院","2015-01-29 02:50:24.710699","2015-01-29 02:50:24.710699"
99,"ホテルメトロポリタンエドモント","2015-01-29 02:50:38.579122","2015-01-29 02:50:38.579122"
100,"東京しごとセンター","2015-01-29 02:50:38.908132","2015-01-29 02:50:38.908132"
101,"警視庁遺失物センター","2015-01-29 02:50:41.011196","2015-01-29 02:50:41.011196"
102,"JCHO東京新宿メディカルセンター","2015-01-29 02:50:41.283204","2015-01-29 02:50:41.283204"
103,"東京逓信病院","2015-01-29 02:50:54.701614","2015-01-29 02:50:54.701614"
104,"東京理科大学","2015-01-29 02:51:07.347999","2015-01-29 02:51:07.347999"
105,"西武百貨店","2015-01-29 02:51:13.698193","2015-01-29 02:51:13.698193"
106,"中央通路","2015-01-29 02:51:14.920230","2015-01-29 02:51:14.920230"
107,"東京芸術劇場","2015-01-29 02:51:17.231301","2015-01-29 02:51:17.231301"
108,"東武百貨店","2015-01-29 02:51:17.538310","2015-01-29 02:51:17.538310"
109,"エソラ池袋","2015-01-29 02:51:23.383488","2015-01-29 02:51:23.383488"
110,"マルイ","2015-01-29 02:51:37.745927","2015-01-29 02:51:37.745927"
111,"上野消防署","2015-01-29 02:51:48.620258","2015-01-29 02:51:48.620258"
112,"下谷神社","2015-01-29 02:51:48.949268","2015-01-29 02:51:48.949268"
113,"小野照崎神社","2015-01-29 02:51:52.097364","2015-01-29 02:51:52.097364"
114,"鷲神社","2015-01-29 02:51:52.405374","2015-01-29 02:51:52.405374"
115,"入谷鬼子母神","2015-01-29 02:51:54.069424","2015-01-29 02:51:54.069424"
