42,custom.StoppingPattern:Odakyu.Tama.TamaExpress,"2015-01-29 02:09:43.395241","2015-01-29 02:09:43.395241"
43,custom.StoppingPattern:Odakyu.Tama.Express,"2015-01-29 02:09:43.670250","2015-01-29 02:09:43.670250"
44,custom.StoppingPattern:Odakyu.Tama.RomanceCar,"2015-01-29 02:09:43.956258","2015-01-29 02:09:43.956258"
45,custom.StoppingPattern:Odakyu.Enoshima.Local,"2015-01-29 02:09:50.662463","2015-01-29 02:09:50.662463"
46,custom.StoppingPattern:Odakyu.Enoshima.Express,"2015-01-29 02:09:50.901470","2015-01-29 02:09:50.901470"
47,custom.StoppingPattern:Odakyu.Enoshima.RapidExpress,"2015-01-29 02:09:51.143477","2015-01-29 02:09:51.143477"
48,custom.StoppingPattern:HakoneTozan.OdawaraSide.Local,"2015-01-29 02:10:00.963777","2015-01-29 02:10:00.963777"
49,custom.StoppingPattern:HakoneTozan.OdawaraSide.RomanceCar,"2015-01-29 02:10:01.210785","2015-01-29 02:10:01.210785"
50,custom.StoppingPattern:Tokyu.DenEnToshi.Local,"2015-01-29 02:10:04.230877","2015-01-29 02:10:04.230877"
51,custom.StoppingPattern:Tokyu.DenEnToshi.SemiExpress,"2015-01-29 02:10:04.468884","2015-01-29 02:10:04.468884"
52,custom.StoppingPattern:Tokyu.DenEnToshi.HolidayExpress,"2015-01-29 02:10:04.699891","2015-01-29 02:10:04.699891"
53,custom.StoppingPattern:Tokyu.DenEnToshi.Express,"2015-01-29 02:10:04.930898","2015-01-29 02:10:04.930898"
54,custom.StoppingPattern:Tobu.SkyTreeOshiage.Subway,"2015-01-29 02:10:21.576406","2015-01-29 02:10:21.576406"
55,custom.StoppingPattern:Tobu.SkyTree.Local,"2015-01-29 02:10:22.731441","2015-01-29 02:10:22.731441"
56,custom.StoppingPattern:Tobu.SkyTree.SectionSemiExpress,"2015-01-29 02:10:23.013450","2015-01-29 02:10:23.013450"
57,custom.StoppingPattern:Tobu.SkyTree.SectionExpress,"2015-01-29 02:10:23.311459","2015-01-29 02:10:23.311459"
58,custom.StoppingPattern:Tobu.SkyTree.SectionRapid,"2015-01-29 02:10:23.642469","2015-01-29 02:10:23.642469"
59,custom.StoppingPattern:Tobu.SkyTree.Rapid,"2015-01-29 02:10:23.971479","2015-01-29 02:10:23.971479"
60,custom.StoppingPattern:Tobu.SkyTree.SemiExpress,"2015-01-29 02:10:25.611529","2015-01-29 02:10:25.611529"
61,custom.StoppingPattern:Tobu.SkyTree.Express,"2015-01-29 02:10:26.050542","2015-01-29 02:10:26.050542"
62,custom.StoppingPattern:Tobu.Isesaki.Local,"2015-01-29 02:10:46.547167","2015-01-29 02:10:46.547167"
63,custom.StoppingPattern:Tobu.Isesaki.SectionSemiExpress,"2015-01-29 02:10:46.809175","2015-01-29 02:10:46.809175"
64,custom.StoppingPattern:Tobu.Isesaki.SemiExpress,"2015-01-29 02:10:47.072183","2015-01-29 02:10:47.072183"
65,custom.StoppingPattern:Tobu.Isesaki.SectionExpress,"2015-01-29 02:10:47.337191","2015-01-29 02:10:47.337191"
66,custom.StoppingPattern:Tobu.Isesaki.Express,"2015-01-29 02:10:47.612200","2015-01-29 02:10:47.612200"
67,custom.StoppingPattern:Tobu.Nikko.Local,"2015-01-29 02:11:07.183797","2015-01-29 02:11:07.183797"
68,custom.StoppingPattern:Tobu.Nikko.SectionSemiExpress,"2015-01-29 02:11:07.444805","2015-01-29 02:11:07.444805"
69,custom.StoppingPattern:Tobu.Nikko.SemiExpress,"2015-01-29 02:11:07.772815","2015-01-29 02:11:07.772815"
70,custom.StoppingPattern:Tobu.Nikko.SectionExpress,"2015-01-29 02:11:08.223828","2015-01-29 02:11:08.223828"
71,custom.StoppingPattern:Tobu.Nikko.Express,"2015-01-29 02:11:08.600840","2015-01-29 02:11:08.600840"
72,custom.StoppingPattern:Tobu.Nikko.SectionRapid,"2015-01-29 02:11:08.985852","2015-01-29 02:11:08.985852"
73,custom.StoppingPattern:Tobu.Nikko.Rapid,"2015-01-29 02:11:09.359863","2015-01-29 02:11:09.359863"
74,custom.StoppingPattern:Tobu.Kinugawa.Local,"2015-01-29 02:11:30.343503","2015-01-29 02:11:30.343503"
75,custom.StoppingPattern:Tokyu.Meguro.Local,"2015-01-29 02:11:34.998645","2015-01-29 02:11:34.998645"
76,custom.StoppingPattern:Tokyu.Meguro.Express,"2015-01-29 02:11:35.302654","2015-01-29 02:11:35.302654"
77,custom.StoppingPattern:SaitamaRailway.SaitamaRailway.Local,"2015-01-29 02:11:44.637939","2015-01-29 02:11:44.637939"
78,custom.StoppingPattern:Seibu.Yurakucho.Local,"2015-01-29 02:11:49.480087","2015-01-29 02:11:49.480087"
79,custom.StoppingPattern:Seibu.Ikebukuro.Local,"2015-01-29 02:11:51.347144","2015-01-29 02:11:51.347144"
80,custom.StoppingPattern:Seibu.Ikebukuro.SemiExpress,"2015-01-29 02:11:51.647153","2015-01-29 02:11:51.647153"
81,custom.StoppingPattern:Seibu.Ikebukuro.CommuterSemiExpress,"2015-01-29 02:11:51.941162","2015-01-29 02:11:51.941162"
82,custom.StoppingPattern:Seibu.Ikebukuro.Rapid,"2015-01-29 02:11:52.208170","2015-01-29 02:11:52.208170"
83,custom.StoppingPattern:Seibu.Ikebukuro.CommuterExpress,"2015-01-29 02:11:52.472178","2015-01-29 02:11:52.472178"
84,custom.StoppingPattern:Seibu.Ikebukuro.Express,"2015-01-29 02:11:52.869190","2015-01-29 02:11:52.869190"
85,custom.StoppingPattern:Seibu.Ikebukuro.RapidExpress.Ikebukuro,"2015-01-29 02:11:53.263202","2015-01-29 02:11:53.263202"
86,custom.StoppingPattern:Seibu.Ikebukuro.RapidExpress.Subway,"2015-01-29 02:11:56.776309","2015-01-29 02:11:56.776309"
87,custom.StoppingPattern:Seibu.Chichibu.Local,"2015-01-29 02:12:17.400938","2015-01-29 02:12:17.400938"
88,custom.StoppingPattern:Seibu.Toshima.Local,"2015-01-29 02:12:25.560187","2015-01-29 02:12:25.560187"
89,custom.StoppingPattern:Seibu.Sayama.Local,"2015-01-29 02:12:26.704222","2015-01-29 02:12:26.704222"
90,custom.StoppingPattern:Tobu.Tojo.Local,"2015-01-29 02:12:31.782377","2015-01-29 02:12:31.782377"
91,custom.StoppingPattern:Tobu.Tojo.SemiExpress,"2015-01-29 02:12:32.093386","2015-01-29 02:12:32.093386"
92,custom.StoppingPattern:Tobu.Tojo.CommuterExpress,"2015-01-29 02:12:32.379395","2015-01-29 02:12:32.379395"
