13,1,odpt.Station:TokyoMetro.Ginza.Kanda,1,12,G13,42,"ê_ìc","Ç©ÇÒÇæ",Kanda,Kanda,urn:ucode:_00001C000000000000010000030C46E8,35.693715,139.77089,,,,"2014-10-02 13:13:57.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C46E8.geojson,"2015-01-29 02:06:54.512090","2015-01-29 02:07:25.425033"
14,1,odpt.Station:TokyoMetro.Ginza.Suehirocho,1,13,G14,117,"ññçLí¨","Ç∑Ç¶Ç–ÇÎÇøÇÂÇ§",Suehirocho,Suehirocho,urn:ucode:_00001C000000000000010000030C4716,35.7027802724813,139.771762651858,,,,"2014-10-02 13:14:16.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C4716.geojson,"2015-01-29 02:06:54.666095","2015-01-29 02:07:25.701042"
15,1,odpt.Station:TokyoMetro.Ginza.UenoHirokoji,1,14,G15,133,"è„ñÏçLè¨òH","Ç§Ç¶ÇÃÇ–ÇÎÇ±Ç§Ç∂",Ueno-hirokoji,UenoHirokoji,urn:ucode:_00001C000000000000010000030C46CB,35.7077658457101,139.773011683371,,,,"2014-10-02 13:13:46.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C46CB.geojson,"2015-01-29 02:06:54.854101","2015-01-29 02:07:25.986050"
16,1,odpt.Station:TokyoMetro.Ginza.Ueno,1,15,G16,132,"è„ñÏ","Ç§Ç¶ÇÃ",Ueno,Ueno,urn:ucode:_00001C000000000000010000030C46CA,35.7118359292102,139.775624742036,,,,"2014-10-02 13:13:45.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C46CA.geojson,"2015-01-29 02:06:54.985105","2015-01-29 02:07:26.282059"
17,1,odpt.Station:TokyoMetro.Ginza.Inaricho,1,16,G17,36,"àÓâ◊í¨","Ç¢Ç»ÇËÇøÇÂÇ§",Inaricho,Inaricho,urn:ucode:_00001C000000000000010000030C46C8,35.7113882905237,139.782210573068,,,,"2014-10-02 13:13:44.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C46C8.geojson,"2015-01-29 02:06:55.139110","2015-01-29 02:07:26.541067"
18,1,odpt.Station:TokyoMetro.Ginza.Tawaramachi,1,17,G18,124,"ìcå¥í¨","ÇΩÇÌÇÁÇ‹Çø",Tawaramachi,Tawaramachi,urn:ucode:_00001C000000000000010000030C4721,35.7099170877701,139.790306456761,,,,"2014-10-02 13:14:20.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C4721.geojson,"2015-01-29 02:06:55.272114","2015-01-29 02:07:26.805075"
19,1,odpt.Station:TokyoMetro.Ginza.Asakusa,1,18,G19,6,"êÛëê","Ç†Ç≥Ç≠Ç≥",Asakusa,Asakusa,urn:ucode:_00001C000000000000010000030C46BC,35.7107463060383,139.79777333243,,,,"2014-10-02 13:13:39.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C46BC.geojson,"2015-01-29 02:06:55.415118","2015-01-29 02:07:27.076084"
20,1,odpt.Station:TokyoMetro.Marunouchi.Ogikubo,2,0,M01,92,"â¨åE","Ç®Ç¨Ç≠Ç⁄",Ogikubo,Ogikubo,urn:ucode:_00001C000000000000010000030C46D6,35.704175,139.61976,,,,"2014-10-02 13:13:50.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C46D6.geojson,"2015-01-29 02:06:55.558122","2015-01-29 02:07:27.350092"
21,1,odpt.Station:TokyoMetro.Marunouchi.MinamiAsagaya,2,1,M02,63,"ìÏà¢ç≤ÉPíJ","Ç›Ç»Ç›Ç†Ç≥Ç™Ç‚",Minami-asagaya,MinamiAsagaya,urn:ucode:_00001C000000000000010000030C4752,35.699455,139.635575,,,,"2014-10-02 13:14:40.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C4752.geojson,"2015-01-29 02:06:55.701127","2015-01-29 02:07:27.719103"
22,1,odpt.Station:TokyoMetro.Marunouchi.ShinKoenji,2,2,M03,110,"êVçÇâ~éõ","ÇµÇÒÇ±Ç§Ç¶ÇÒÇ∂",Shin-koenji,ShinKoenji,urn:ucode:_00001C000000000000010000030C470C,35.69786,139.64851,,,,"2014-10-02 13:14:11.000000",https://api.tokyometroapp.jp/api/v2/places/urn:ucode:_00001C000000000000010000030C470C.geojson,"2015-01-29 02:06:55.894133","2015-01-29 02:07:28.071114"
