28,odpt.StationFacility:TokyoMetro.Hikawadai,urn:ucode:_00001C000000000000010000030C47CC,"2014-11-11 10:06:12.000000","2015-01-29 02:06:36.400538","2015-01-29 02:06:36.400538"
29,odpt.StationFacility:TokyoMetro.HiroO,urn:ucode:_00001C000000000000010000030C4791,"2014-11-11 10:06:12.000000","2015-01-29 02:06:36.521542","2015-01-29 02:06:36.521542"
30,odpt.StationFacility:TokyoMetro.Honancho,urn:ucode:_00001C000000000000010000030C4769,"2014-11-11 10:06:11.000000","2015-01-29 02:06:36.642545","2015-01-29 02:06:36.642545"
31,odpt.StationFacility:TokyoMetro.HongoSanchome,urn:ucode:_00001C000000000000010000030C4790,"2014-11-11 10:06:12.000000","2015-01-29 02:06:36.763549","2015-01-29 02:06:36.763549"
32,odpt.StationFacility:TokyoMetro.HonKomagome,urn:ucode:_00001C000000000000010000030C47EC,"2014-11-11 10:06:12.000000","2015-01-29 02:06:36.895553","2015-01-29 02:06:36.895553"
33,odpt.StationFacility:TokyoMetro.Ichigaya,urn:ucode:_00001C000000000000010000030C47D4,"2014-11-11 10:06:12.000000","2015-01-29 02:06:37.027557","2015-01-29 02:06:37.027557"
34,odpt.StationFacility:TokyoMetro.Iidabashi,urn:ucode:_00001C000000000000010000030C47D3,"2014-11-11 10:06:12.000000","2015-01-29 02:06:37.160561","2015-01-29 02:06:37.160561"
35,odpt.StationFacility:TokyoMetro.Ikebukuro,urn:ucode:_00001C000000000000010000030C4795,"2014-11-11 10:06:12.000000","2015-01-29 02:06:37.291565","2015-01-29 02:06:37.291565"
36,odpt.StationFacility:TokyoMetro.Inaricho,urn:ucode:_00001C000000000000010000030C4779,"2014-11-11 10:06:12.000000","2015-01-29 02:06:37.423569","2015-01-29 02:06:37.423569"
37,odpt.StationFacility:TokyoMetro.Iriya,urn:ucode:_00001C000000000000010000030C47A3,"2014-11-11 10:06:12.000000","2015-01-29 02:06:37.566574","2015-01-29 02:06:37.566574"
38,odpt.StationFacility:TokyoMetro.Jimbocho,urn:ucode:_00001C000000000000010000030C47E0,"2014-11-11 10:06:12.000000","2015-01-29 02:06:37.699578","2015-01-29 02:06:37.699578"
39,odpt.StationFacility:TokyoMetro.Kagurazaka,urn:ucode:_00001C000000000000010000030C47AB,"2014-11-11 10:06:12.000000","2015-01-29 02:06:37.892584","2015-01-29 02:06:37.892584"
40,odpt.StationFacility:TokyoMetro.Kamiyacho,urn:ucode:_00001C000000000000010000030C4799,"2014-11-11 10:06:12.000000","2015-01-29 02:06:38.040588","2015-01-29 02:06:38.040588"
41,odpt.StationFacility:TokyoMetro.Kanamecho,urn:ucode:_00001C000000000000010000030C47CF,"2014-11-11 10:06:12.000000","2015-01-29 02:06:38.183592","2015-01-29 02:06:38.183592"
42,odpt.StationFacility:TokyoMetro.Kanda,urn:ucode:_00001C000000000000010000030C4775,"2014-11-11 10:06:11.000000","2015-01-29 02:06:38.334597","2015-01-29 02:06:38.334597"
43,odpt.StationFacility:TokyoMetro.Kasai,urn:ucode:_00001C000000000000010000030C47B3,"2014-11-11 10:06:12.000000","2015-01-29 02:06:38.469601","2015-01-29 02:06:38.469601"
44,odpt.StationFacility:TokyoMetro.Kasumigaseki,urn:ucode:_00001C000000000000010000030C478B,"2014-11-11 10:06:12.000000","2015-01-29 02:06:38.604605","2015-01-29 02:06:38.604605"
45,odpt.StationFacility:TokyoMetro.Kayabacho,urn:ucode:_00001C000000000000010000030C479E,"2014-11-11 10:06:12.000000","2015-01-29 02:06:38.733609","2015-01-29 02:06:38.733609"
46,odpt.StationFacility:TokyoMetro.Kiba,urn:ucode:_00001C000000000000010000030C47AF,"2014-11-11 10:06:12.000000","2015-01-29 02:06:38.876614","2015-01-29 02:06:38.876614"
