53,25,1,15,645,f,f,f,,"2015-01-29 02:14:51.191629","2015-01-29 02:14:51.191629",,f
54,27,1,19,,f,f,f,,"2015-01-29 02:14:51.357634","2015-01-29 02:14:51.357634",,f
55,27,2,34,,f,f,f,,"2015-01-29 02:14:51.511638","2015-01-29 02:14:51.511638",,f
56,27,3,25,,f,f,f,,"2015-01-29 02:14:51.660643","2015-01-29 02:14:51.660643",,f
57,27,4,33,,f,f,f,,"2015-01-29 02:14:51.838648","2015-01-29 02:14:51.838648",,f
58,27,5,27,,f,f,f,,"2015-01-29 02:14:52.056655","2015-01-29 02:14:52.056655",,f
59,27,6,28,,f,f,f,,"2015-01-29 02:14:52.233660","2015-01-29 02:14:52.233660",,f
60,27,7,29,,f,f,f,,"2015-01-29 02:14:52.376665","2015-01-29 02:14:52.376665",,f
61,27,8,44,222,f,f,f,,"2015-01-29 02:14:52.537670","2015-01-29 02:14:52.537670",,f
62,27,9,64,,f,t,f,,"2015-01-29 02:14:52.702675","2015-01-29 02:14:52.702675",,f
63,27,10,65,,f,f,f,,"2015-01-29 02:14:52.899681","2015-01-29 02:14:52.899681",,f
64,27,11,15,616,t,t,f,,"2015-01-29 02:14:53.196690","2015-01-29 02:14:53.196690",,f
65,27,12,14,595,f,f,t,7,"2015-01-29 02:14:53.667704","2015-02-20 19:27:34.577221",,f
66,28,1,11,183,f,f,f,8,"2015-01-29 02:14:54.308724","2015-01-29 02:14:54.308724",,f
67,28,2,14,596,f,f,f,,"2015-01-29 02:14:54.564732","2015-01-29 02:14:54.564732",,f
68,31,1,28,,f,f,f,,"2015-01-29 02:14:54.847740","2015-01-29 02:14:54.847740",,f
69,31,2,29,,f,f,f,,"2015-01-29 02:14:55.134749","2015-01-29 02:14:55.134749",,f
70,31,3,10,159,f,f,f,,"2015-01-29 02:14:55.396757","2015-01-29 02:14:55.396757",,f
71,32,1,1,5,f,f,f,,"2015-01-29 02:14:55.708766","2015-01-29 02:14:55.708766",,f
72,32,2,9,141,t,t,f,,"2015-01-29 02:14:56.103779","2015-01-29 02:14:56.103779",,f
73,32,3,8,129,t,f,f,,"2015-01-29 02:14:56.330785","2015-01-29 02:14:56.330785",,f
74,32,4,10,158,t,f,t,13,"2015-01-29 02:14:56.554792","2015-02-20 19:36:19.550857",,f
75,33,1,6,99,f,f,f,,"2015-01-29 02:14:56.777799","2015-01-29 02:14:56.777799",,f
76,33,2,10,157,t,t,f,13,"2015-01-29 02:14:57.025807","2015-02-20 19:53:25.829288",,f
77,33,3,1,6,t,f,t,9,"2015-01-29 02:14:57.433819","2015-02-20 19:25:26.765684",,f
78,34,1,4,54,f,f,f,,"2015-01-29 02:14:57.635825","2015-01-29 02:14:57.635825",,f
79,34,2,6,100,f,f,f,,"2015-01-29 02:14:57.841832","2015-01-29 02:14:57.841832",,f
80,35,1,4,56,f,f,f,,"2015-01-29 02:14:58.163841","2015-01-29 02:14:58.163841",,f
81,35,2,1,9,f,f,f,,"2015-01-29 02:14:58.337847","2015-01-29 02:14:58.337847",,f
82,36,1,19,,f,f,f,,"2015-01-29 02:14:58.550853","2015-01-29 02:14:58.550853",,f
83,36,2,20,,f,f,f,,"2015-01-29 02:14:58.732859","2015-01-29 02:14:58.732859",,f
84,36,3,21,,f,t,f,,"2015-01-29 02:14:58.954865","2015-01-29 02:14:58.954865",,f
85,36,4,26,,f,f,f,,"2015-01-29 02:14:59.151871","2015-02-20 10:41:56.878744","2015-03-14 03:00:00.000000",f
86,36,5,22,,f,f,f,,"2015-01-29 02:14:59.371878","2015-01-29 02:14:59.371878",,f
87,36,6,32,,f,f,f,,"2015-01-29 02:14:59.580885","2015-01-29 02:14:59.580885",,f
88,36,7,33,,f,t,f,,"2015-01-29 02:14:59.919895","2015-01-29 02:14:59.919895",,f
89,36,8,27,,f,f,f,,"2015-01-29 02:15:00.273906","2015-01-29 02:15:00.273906",,f
90,36,9,28,,f,f,f,,"2015-01-29 02:15:00.517913","2015-01-29 02:15:00.517913",,f
91,36,10,36,,f,t,f,,"2015-01-29 02:15:00.714919","2015-01-29 02:15:00.714919",,f
92,36,11,37,,f,f,f,,"2015-01-29 02:15:00.945926","2015-01-29 02:15:00.945926",,f
93,36,12,38,,f,t,f,,"2015-01-29 02:15:01.230935","2015-01-29 02:15:01.230935",,f
94,36,13,39,,f,f,f,,"2015-01-29 02:15:01.444941","2015-01-29 02:15:01.444941",,f
95,37,1,5,78,f,f,f,,"2015-01-29 02:15:01.690949","2015-01-29 02:15:01.690949",,f
96,37,2,6,103,f,f,f,,"2015-01-29 02:15:01.956957","2015-01-29 02:15:01.956957",,f
97,37,3,9,145,f,f,f,,"2015-01-29 02:15:02.231965","2015-01-29 02:15:02.231965",,f
98,37,4,13,576,f,f,f,,"2015-01-29 02:15:02.444972","2015-01-29 02:15:02.444972",,f
99,38,1,14,601,t,f,f,,"2015-01-29 02:15:02.597977","2015-01-29 02:15:02.597977",,f
100,38,2,6,104,t,f,f,,"2015-01-29 02:15:02.821983","2015-01-29 02:15:02.821983",,f
101,39,1,28,689,f,f,f,,"2015-01-29 02:15:03.039990","2015-01-29 02:15:03.039990",,f
102,39,2,29,690,f,f,f,,"2015-01-29 02:15:03.268997","2015-01-29 02:15:03.268997",,f
103,40,1,15,623,f,f,f,,"2015-01-29 02:15:03.471003","2015-01-29 02:15:03.471003",,f
104,41,1,10,162,f,f,f,,"2015-01-29 02:15:03.754012","2015-01-29 02:15:03.754012",,f
105,41,2,15,622,t,t,f,,"2015-01-29 02:15:04.067021","2015-01-29 02:15:04.067021",,f
106,41,3,13,579,t,f,f,,"2015-01-29 02:15:04.278028","2015-01-29 02:15:04.278028",,f
107,44,1,8,122,f,f,f,,"2015-01-29 02:15:04.565037","2015-01-29 02:15:04.565037",,f
108,44,2,11,179,f,f,f,,"2015-01-29 02:15:04.806044","2015-01-29 02:15:04.806044",,f
109,44,3,19,,f,t,f,,"2015-01-29 02:15:05.042051","2015-01-29 02:15:05.042051",,f
110,44,4,34,,f,f,f,,"2015-01-29 02:15:05.286059","2015-01-29 02:15:05.286059",,f
111,44,5,25,,f,f,f,,"2015-01-29 02:15:05.523066","2015-01-29 02:15:05.523066",,f
112,44,6,33,,f,f,f,,"2015-01-29 02:15:05.777074","2015-01-29 02:15:05.777074",,f
113,44,7,49,441,f,t,f,,"2015-01-29 02:15:06.160085","2015-01-29 02:15:06.160085",,f
114,44,8,61,483,f,f,f,,"2015-01-29 02:15:06.392092","2015-01-29 02:15:06.392092",,f
115,48,1,15,645,f,f,f,,"2015-01-29 02:15:06.651100","2015-01-29 02:15:06.651100",,f
116,49,1,40,523,f,f,f,,"2015-01-29 02:15:06.876107","2015-01-29 02:15:06.876107",,f
117,50,1,19,,f,f,f,,"2015-01-29 02:15:07.148115","2015-01-29 02:15:07.148115",,f
118,50,2,34,,f,f,f,,"2015-01-29 02:15:07.415123","2015-01-29 02:15:07.415123",,f
119,50,3,25,,f,f,f,,"2015-01-29 02:15:07.671131","2015-01-29 02:15:07.671131",,f
120,52,1,15,638,f,f,f,,"2015-01-29 02:15:07.963140","2015-01-29 02:15:07.963140",,f
121,54,1,2,34,f,f,f,,"2015-01-29 02:15:08.227148","2015-01-29 02:15:08.227148",,f
122,54,2,6,100,f,f,f,,"2015-01-29 02:15:08.516157","2015-01-29 02:15:08.516157",,f
