29,2011,,1,100641,odpt.PassengerSurvey:TokyoMetro.Toranomon.2011,urn:ucode:_00001C000000000000010000030C4637,"2015-01-29 02:24:47.940829","2015-01-29 02:24:47.940829"
30,2011,,1,99957,odpt.PassengerSurvey:TokyoMetro.Yotsuya.2011,urn:ucode:_00001C000000000000010000030C4638,"2015-01-29 02:24:48.042832","2015-01-29 02:24:48.042832"
31,2011,,1,99394,odpt.PassengerSurvey:TokyoMetro.AkasakaMitsuke.2011,urn:ucode:_00001C000000000000010000030C463A,"2015-01-29 02:24:48.152835","2015-01-29 02:24:48.152835"
32,2011,,1,97811,odpt.PassengerSurvey:TokyoMetro.AoyamaItchome.2011,urn:ucode:_00001C000000000000010000030C463B,"2015-01-29 02:24:48.278839","2015-01-29 02:24:48.278839"
33,2011,,1,97688,odpt.PassengerSurvey:TokyoMetro.ShinjukuSanchome.2011,urn:ucode:_00001C000000000000010000030C463C,"2015-01-29 02:24:48.416843","2015-01-29 02:24:48.416843"
34,2011,,1,95750,odpt.PassengerSurvey:TokyoMetro.Kasai.2011,urn:ucode:_00001C000000000000010000030C463D,"2015-01-29 02:24:48.525847","2015-01-29 02:24:48.525847"
35,2011,,1,95522,odpt.PassengerSurvey:TokyoMetro.Ebisu.2011,urn:ucode:_00001C000000000000010000030C463E,"2015-01-29 02:24:48.647851","2015-01-29 02:24:48.647851"
36,2011,,1,95145,odpt.PassengerSurvey:TokyoMetro.NishiKasai.2011,urn:ucode:_00001C000000000000010000030C463F,"2015-01-29 02:24:48.768854","2015-01-29 02:24:48.768854"
37,2011,,1,93783,odpt.PassengerSurvey:TokyoMetro.ShinKiba.2011,urn:ucode:_00001C000000000000010000030C4640,"2015-01-29 02:24:48.879858","2015-01-29 02:24:48.879858"
38,2011,,1,90967,odpt.PassengerSurvey:TokyoMetro.Asakusa.2011,urn:ucode:_00001C000000000000010000030C4641,"2015-01-29 02:24:49.037862","2015-01-29 02:24:49.037862"
39,2011,,1,90874,odpt.PassengerSurvey:TokyoMetro.Hibiya.2011,urn:ucode:_00001C000000000000010000030C4642,"2015-01-29 02:24:49.163866","2015-01-29 02:24:49.163866"
40,2011,,1,89502,odpt.PassengerSurvey:TokyoMetro.Korakuen.2011,urn:ucode:_00001C000000000000010000030C4643,"2015-01-29 02:24:49.300870","2015-01-29 02:24:49.300870"
41,2011,,1,88444,odpt.PassengerSurvey:TokyoMetro.ShinOchanomizu.2011,urn:ucode:_00001C000000000000010000030C4644,"2015-01-29 02:24:49.424874","2015-01-29 02:24:49.424874"
42,2011,,1,88314,odpt.PassengerSurvey:TokyoMetro.Jimbocho.2011,urn:ucode:_00001C000000000000010000030C4645,"2015-01-29 02:24:49.528877","2015-01-29 02:24:49.528877"
43,2011,,1,82342,odpt.PassengerSurvey:TokyoMetro.Kinshicho.2011,urn:ucode:_00001C000000000000010000030C4646,"2015-01-29 02:24:49.649881","2015-01-29 02:24:49.649881"
44,2011,,1,80361,odpt.PassengerSurvey:TokyoMetro.Akasaka.2011,urn:ucode:_00001C000000000000010000030C4647,"2015-01-29 02:24:49.761885","2015-01-29 02:24:49.761885"
45,2011,,1,77154,odpt.PassengerSurvey:TokyoMetro.Ningyocho.2011,urn:ucode:_00001C000000000000010000030C4648,"2015-01-29 02:24:49.957890","2015-01-29 02:24:49.957890"
46,2011,,1,76486,odpt.PassengerSurvey:TokyoMetro.Kamiyacho.2011,urn:ucode:_00001C000000000000010000030C4649,"2015-01-29 02:24:50.073894","2015-01-29 02:24:50.073894"
47,2011,,1,74123,odpt.PassengerSurvey:TokyoMetro.Gaiemmae.2011,urn:ucode:_00001C000000000000010000030C464A,"2015-01-29 02:24:50.199898","2015-01-29 02:24:50.199898"
48,2011,,1,73021,odpt.PassengerSurvey:TokyoMetro.Urayasu.2011,urn:ucode:_00001C000000000000010000030C464B,"2015-01-29 02:24:50.308901","2015-01-29 02:24:50.308901"
49,2011,,1,72956,odpt.PassengerSurvey:TokyoMetro.Kiba.2011,urn:ucode:_00001C000000000000010000030C464C,"2015-01-29 02:24:50.430905","2015-01-29 02:24:50.430905"
50,2011,,1,72841,odpt.PassengerSurvey:TokyoMetro.HigashiGinza.2011,urn:ucode:_00001C000000000000010000030C464D,"2015-01-29 02:24:50.567909","2015-01-29 02:24:50.567909"
51,2011,,1,71913,odpt.PassengerSurvey:TokyoMetro.MeijiJingumae.2011,urn:ucode:_00001C000000000000010000030C464E,"2015-01-29 02:24:50.683913","2015-01-29 02:24:50.683913"
52,2011,,1,71882,odpt.PassengerSurvey:TokyoMetro.Hanzomon.2011,urn:ucode:_00001C000000000000010000030C464F,"2015-01-29 02:24:50.792916","2015-01-29 02:24:50.792916"
53,2011,,1,70733,odpt.PassengerSurvey:TokyoMetro.Waseda.2011,urn:ucode:_00001C000000000000010000030C4650,"2015-01-29 02:24:50.903919","2015-01-29 02:24:50.903919"
54,2011,,1,69792,odpt.PassengerSurvey:TokyoMetro.Ogikubo.2011,urn:ucode:_00001C000000000000010000030C4651,"2015-01-29 02:24:51.013923","2015-01-29 02:24:51.013923"
55,2011,,1,68853,odpt.PassengerSurvey:TokyoMetro.Suitengumae.2011,urn:ucode:_00001C000000000000010000030C4652,"2015-01-29 02:24:51.144927","2015-01-29 02:24:51.144927"
56,2011,,1,67153,odpt.PassengerSurvey:TokyoMetro.Tsukiji.2011,urn:ucode:_00001C000000000000010000030C4653,"2015-01-29 02:24:51.283931","2015-01-29 02:24:51.283931"
57,2011,,1,66404,odpt.PassengerSurvey:TokyoMetro.Myogadani.2011,urn:ucode:_00001C000000000000010000030C4654,"2015-01-29 02:24:51.409935","2015-01-29 02:24:51.409935"
58,2011,,1,61969,odpt.PassengerSurvey:TokyoMetro.NakanoSakaue.2011,urn:ucode:_00001C000000000000010000030C4655,"2015-01-29 02:24:51.509938","2015-01-29 02:24:51.509938"
59,2011,,1,59379,odpt.PassengerSurvey:TokyoMetro.Nagatacho.2011,urn:ucode:_00001C000000000000010000030C4656,"2015-01-29 02:24:51.617941","2015-01-29 02:24:51.617941"
60,2011,,1,57409,odpt.PassengerSurvey:TokyoMetro.Tsukishima.2011,urn:ucode:_00001C000000000000010000030C4657,"2015-01-29 02:24:51.738945","2015-01-29 02:24:51.738945"
61,2011,,1,56930,odpt.PassengerSurvey:TokyoMetro.MinamiSunamachi.2011,urn:ucode:_00001C000000000000010000030C4658,"2015-01-29 02:24:51.889949","2015-01-29 02:24:51.889949"
62,2011,,1,55448,odpt.PassengerSurvey:TokyoMetro.HiroO.2011,urn:ucode:_00001C000000000000010000030C4659,"2015-01-29 02:24:52.069955","2015-01-29 02:24:52.069955"
63,2011,,1,54464,odpt.PassengerSurvey:TokyoMetro.Oji.2011,urn:ucode:_00001C000000000000010000030C465A,"2015-01-29 02:24:52.212959","2015-01-29 02:24:52.212959"
64,2011,,1,54174,odpt.PassengerSurvey:TokyoMetro.Machiya.2011,urn:ucode:_00001C000000000000010000030C465B,"2015-01-29 02:24:52.366964","2015-01-29 02:24:52.366964"
65,2011,,1,52708,odpt.PassengerSurvey:TokyoMetro.Gyotoku.2011,urn:ucode:_00001C000000000000010000030C465C,"2015-01-29 02:24:52.498968","2015-01-29 02:24:52.498968"
